[2026-08-11T11:19:05.486Z] COMPANY: "Aegis Logistics Ltd" | QUERIES: ["Aegis Logistics Ltd" official website] | CANDIDATES: [https://aegislogistics.com] | SELECTED: "https://aegislogistics.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-11T11:19:16.277Z] COMPANY: "Utique Enterprises Ltd" | QUERIES: ["Utique Enterprises Ltd" official website] | CANDIDATES: [https://utiqueshop.com] | SELECTED: "https://utiqueshop.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-11T11:19:22.556Z] COMPANY: "Bombay Dyeing & Manufacturing Company Ltd" | QUERIES: ["Bombay Dyeing & Manufacturing Company Ltd" official website] | CANDIDATES: [https://bombaydyeing.com] | SELECTED: "https://bombaydyeing.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-11T11:19:33.464Z] COMPANY: "Asian Hotels (North) Ltd" | QUERIES: ["Asian Hotels (North) Ltd" official website] | CANDIDATES: [https://asianhotelsnorth.com] | SELECTED: "https://asianhotelsnorth.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-11T11:19:43.175Z] COMPANY: "Atul Ltd" | QUERIES: ["Atul Ltd" official website] | CANDIDATES: [https://atulsongaday.me] | SELECTED: "https://atulsongaday.me" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-11T11:19:54.404Z] COMPANY: "Bajaj Electricals Ltd" | QUERIES: ["Bajaj Electricals Ltd" official website] | CANDIDATES: [https://bajajelectricals.com] | SELECTED: "https://bajajelectricals.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-11T11:20:10.822Z] COMPANY: "Bajaj Hindusthan Sugar Ltd" | QUERIES: ["Bajaj Hindusthan Sugar Ltd" official website] | CANDIDATES: [https://bajajhindusthan.com] | SELECTED: "https://bajajhindusthan.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-11T11:22:31.841Z] COMPANY: "Force Motors Ltd" | QUERIES: ["Force Motors Ltd" official website] | CANDIDATES: [https://forcemotors.com] | SELECTED: "https://forcemotors.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-11T11:22:35.970Z] COMPANY: "Bajaj Finance Ltd" | QUERIES: ["Bajaj Finance Ltd" official website] | CANDIDATES: [https://bajajhousingfinance.in] | SELECTED: "https://bajajhousingfinance.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-11T11:22:54.764Z] COMPANY: "Balrampur Chini Mills Ltd" | QUERIES: ["Balrampur Chini Mills Ltd" official website] | CANDIDATES: [https://chini.com] | SELECTED: "https://chini.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-11T11:22:58.075Z] COMPANY: "BEML Ltd" | QUERIES: ["BEML Ltd" official website] | CANDIDATES: [https://bemlindia.in] | SELECTED: "https://bemlindia.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
